iter	Passed	Remaining
688	439	198
689	439	197
690	439	196
691	440	196
692	440	195
693	441	194
694	441	193
695	441	193
696	442	192
697	442	191
698	443	190
699	443	190
700	443	189
701	444	188
702	444	187
703	445	187
704	445	186
705	445	185
706	446	184
707	446	184
708	446	183
709	447	182
710	447	181
711	448	181
712	448	180
713	448	179
714	449	179
715	449	178
716	450	177
717	450	176
718	450	176
719	451	175
720	451	174
721	451	174
722	452	173
723	452	172
724	453	171
725	453	171
726	454	170
727	454	169
728	454	169
729	455	168
730	455	167
731	456	166
732	456	166
733	456	165
734	457	164
735	457	164
736	457	163
737	458	162
738	458	162
739	459	161
740	459	160
741	459	159
742	460	159
743	460	158
744	461	157
745	461	157
746	461	156
747	462	155
748	462	155
749	463	154
750	463	153
751	463	152
752	464	152
753	464	151
754	465	150
755	465	150
756	465	149
757	466	148
758	466	148
759	466	147
760	467	146
761	467	146
762	468	145
763	468	144
764	468	144
765	469	143
766	469	142
767	470	141
768	470	141
769	470	140
770	471	139
771	471	139
772	471	138
773	472	137
774	472	137
775	473	136
776	473	135
777	473	135
778	474	134
779	474	133
780	475	133
781	475	132
782	475	131
783	476	131
784	476	130
785	477	129
786	477	129
787	477	128
788	478	127
789	478	127
790	479	126
791	479	125
792	479	125
793	480	124
794	480	123
795	481	123
796	481	122
797	481	121
798	482	121
799	482	120
800	482	119
801	483	119
802	483	118
803	484	118
804	484	117
805	484	116
806	485	116
807	485	115
808	486	114
809	486	114
810	486	113
811	487	112
812	487	112
813	488	111
814	488	110
815	488	110
816	489	109
817	489	108
818	489	108
819	490	107
820	490	106
821	491	106
822	491	105
823	491	105
824	492	104
825	492	103
826	493	103
827	493	102
828	493	101
829	494	101
830	494	100
831	495	99
832	495	99
833	495	98
834	496	98
835	496	97
836	496	96
837	497	96
838	497	95
839	498	94
840	498	94
841	498	93
842	499	92
843	499	92
844	500	91
845	500	91
846	500	90
847	501	89
848	501	89
849	502	88
850	502	87
851	502	87
852	503	86
853	503	86
854	504	85
855	504	84
856	504	84
857	505	83
858	505	83
859	506	82
860	506	81
861	507	81
862	507	80
863	508	80
864	508	79
865	509	78
866	509	78
867	510	77
868	510	76
869	511	76
870	511	75
871	511	75
872	512	74
873	512	73
874	513	73
875	513	72
876	514	72
877	514	71
878	514	70
879	515	70
880	515	69
881	516	69
882	516	68
883	516	67
884	517	67
885	517	66
886	517	65
887	518	65
888	518	64
889	519	64
890	519	63
891	519	62
892	520	62
893	520	61
894	521	61
895	522	60
896	522	59
897	522	59
898	523	58
899	523	58
900	524	57
901	524	56
902	524	56
903	525	55
904	525	55
905	526	54
906	526	53
907	526	53
908	527	52
909	527	52
910	528	51
911	528	50
912	528	50
913	529	49
914	529	49
915	529	48
916	530	48
917	530	47
918	531	46
919	531	46
920	531	45
921	532	45
922	532	44
923	533	43
924	533	43
925	533	42
926	534	42
927	534	41
928	535	40
929	535	40
930	536	39
931	536	39
932	537	38
933	538	38
934	538	37
935	539	36
936	539	36
937	539	35
938	540	35
939	540	34
940	541	33
941	541	33
942	542	32
943	543	32
944	543	31
945	544	31
946	544	30
947	545	29
948	545	29
949	546	28
950	546	28
951	546	27
952	547	26
953	547	26
954	548	25
955	548	25
956	549	24
957	549	24
958	550	23
959	550	22
960	551	22
961	551	21
962	552	21
963	552	20
964	553	20
965	553	19
966	554	18
967	554	18
968	555	17
969	555	17
970	556	16
971	557	16
972	557	15
973	558	14
974	558	14
975	559	13
976	559	13
977	560	12
978	560	12
979	561	11
980	561	10
981	562	10
982	562	9
983	563	9
984	563	8
985	564	8
986	564	7
987	565	6
988	565	6
989	566	5
990	566	5
991	567	4
992	567	4
993	568	3
994	568	2
995	569	2
996	569	1
997	570	1
998	570	0
999	570	0
